2024-06-07T06:12:34.428Z info: Connected to DB and listening to port
2024-06-07T06:34:53.674Z info: Connected to DB and listening to port
2024-06-07T06:36:40.101Z info: Connected to DB and listening to port
2024-06-07T06:37:36.627Z info: Connected to DB and listening to port
2024-06-07T06:37:39.646Z info: Connected to DB and listening to port: 
2024-06-07T06:37:41.129Z info: Connected to DB and listening to port: 8000
2024-06-07T06:41:46.673Z info: Connected to DB and listening to port: 8000
2024-06-07T06:41:50.762Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:00.419Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:02.197Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:06.002Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:11.983Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:14.055Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:17.163Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:38.711Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:40.314Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:44.876Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:49.741Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:50.809Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:54.262Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:55.743Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:57.300Z info: Connected to DB and listening to port: 8000
2024-06-07T06:42:59.046Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:01.051Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:03.574Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:08.879Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:10.686Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:15.912Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:21.784Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:24.949Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:37.559Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:41.864Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:48.893Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:50.843Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:52.025Z info: Connected to DB and listening to port: 8000
2024-06-07T06:43:57.992Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:00.963Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:01.994Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:05.565Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:15.664Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:18.125Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:19.821Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:24.767Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:27.794Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:30.352Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:34.118Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:38.727Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:42.410Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:55.548Z info: Connected to DB and listening to port: 8000
2024-06-07T06:44:56.881Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:02.840Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:06.968Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:08.306Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:12.445Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:14.768Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:18.143Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:21.839Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:24.093Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:25.403Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:27.500Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:28.537Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:31.361Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:34.176Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:35.240Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:37.423Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:38.652Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:41.572Z info: Connected to DB and listening to port: 8000
2024-06-07T06:45:44.688Z info: Connected to DB and listening to port: 8000
2024-06-07T06:46:09.833Z info: Connected to DB and listening to port: 8000
2024-06-07T06:46:21.368Z info: Connected to DB and listening to port: 8000
2024-06-07T06:46:26.388Z info: Connected to DB and listening to port: 8000
2024-06-07T06:46:42.855Z info: Connected to DB and listening to port: 8000
2024-06-07T06:46:45.460Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:01.912Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:05.103Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:06.686Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:18.034Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:23.905Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:27.522Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:40.387Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:46.482Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:48.134Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:49.775Z info: Connected to DB and listening to port: 8000
2024-06-07T06:47:51.239Z info: Connected to DB and listening to port: 8000
2024-06-07T06:48:21.613Z info: Connected to DB and listening to port: 8000
2024-06-07T07:46:49.158Z info: Connected to DB and listening to port: 8000
2024-06-07T07:47:01.335Z info: Connected to DB and listening to port: 8000
2024-06-07T07:47:06.055Z info: Connected to DB and listening to port: 8000
2024-06-07T07:47:08.717Z info: Connected to DB and listening to port: 8000
2024-06-07T07:47:12.142Z info: Connected to DB and listening to port: 8000
2024-06-07T07:47:17.774Z info: Connected to DB and listening to port: 8000
2024-06-07T07:47:19.794Z info: Connected to DB and listening to port: 8000
2024-06-07T07:50:04.923Z info: Connected to DB and listening to port: 8000
2024-06-07T07:50:52.313Z info: Connected to DB and listening to port: 8000
2024-06-07T07:50:57.035Z info: Connected to DB and listening to port: 8000
2024-06-07T07:50:59.255Z info: Connected to DB and listening to port: 8000
2024-06-07T07:51:02.167Z info: Connected to DB and listening to port: 8000
2024-06-07T07:51:03.493Z info: Connected to DB and listening to port: 8000
2024-06-07T07:51:37.657Z info: Connected to DB and listening to port: 8000
2024-06-07T07:51:41.743Z info: Connected to DB and listening to port: 8000
2024-06-07T07:51:45.475Z info: Connected to DB and listening to port: 8000
2024-06-07T07:51:49.294Z info: Connected to DB and listening to port: 8000
2024-06-07T07:51:51.724Z info: Connected to DB and listening to port: 8000
2024-06-07T07:51:53.350Z info: Connected to DB and listening to port: 8000
2024-06-07T07:52:40.457Z info: Connected to DB and listening to port: 8000
2024-06-07T07:53:00.357Z info: Connected to DB and listening to port: 8000
2024-06-07T07:53:04.798Z info: Connected to DB and listening to port: 8000
2024-06-07T07:53:07.253Z info: Connected to DB and listening to port: 8000
2024-06-07T07:53:11.402Z info: Connected to DB and listening to port: 8000
2024-06-07T07:54:58.357Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:01.949Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:07.543Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:12.459Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:15.261Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:32.620Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:37.829Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:40.442Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:41.719Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:44.924Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:47.560Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:54.682Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:56.515Z info: Connected to DB and listening to port: 8000
2024-06-07T07:55:59.661Z info: Connected to DB and listening to port: 8000
2024-06-07T07:56:01.347Z info: Connected to DB and listening to port: 8000
2024-06-07T07:56:04.185Z info: Connected to DB and listening to port: 8000
2024-06-07T07:56:10.896Z info: Connected to DB and listening to port: 8000
2024-06-07T07:56:17.657Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:25.475Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:34.584Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:37.924Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:40.470Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:42.501Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:46.521Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:48.699Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:50.084Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:52.979Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:55.618Z info: Connected to DB and listening to port: 8000
2024-06-07T07:57:58.074Z info: Connected to DB and listening to port: 8000
2024-06-07T07:59:54.469Z info: Connected to DB and listening to port: 8000
2024-06-07T07:59:59.030Z info: Connected to DB and listening to port: 8000
2024-06-07T08:00:02.377Z info: Connected to DB and listening to port: 8000
2024-06-07T08:00:03.515Z info: Connected to DB and listening to port: 8000
2024-06-07T08:00:06.436Z info: Connected to DB and listening to port: 8000
2024-06-07T08:00:07.588Z info: Connected to DB and listening to port: 8000
2024-06-07T08:00:22.948Z info: Connected to DB and listening to port: 8000
2024-06-07T08:01:49.054Z info: Connected to DB and listening to port: 8000
2024-06-07T08:01:56.617Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:05.870Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:10.498Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:12.254Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:14.237Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:21.958Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:26.012Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:35.284Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:37.877Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:39.569Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:44.801Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:46.716Z info: Connected to DB and listening to port: 8000
2024-06-07T08:02:57.304Z info: Connected to DB and listening to port: 8000
2024-06-07T08:03:10.845Z info: Connected to DB and listening to port: 8000
